Smell,Blog.Core,boletonet,drywetmidi,fo-dicom,greenshot,mpv.net,NETworkManager,PixiEditor,Seal-Report,Terminal.Gui
Unutilized Abstraction,12.25%,0.14%,4.05%,1.12%,0.77%,13.73%,23.68%,58.33%,0.83%,57.14%
Unnecessary Abstraction,9.47%,0.12%,4.90%,0.37%,2.34%,5.88%,0,0,1.22%,0
Duplicate Abstraction,2.17%,0.62%,5.83%,0.89%,1.55%,4.90%,26.32%,8.33%,0.43%,0
Feature Envy,0.35%,0.01%,0.50%,0.11%,0.62%,0,0,0,0.44%,0
Deficient Encapsulation,2.35%,0.02%,0,0.37%,1.67%,9.31%,0,0,3.57%,0
Broken Modularization,5.04%,0.07%,1.71%,0.02%,0.87%,7.35%,0,0,0.38%,0
Insufficient Modularization,1.04%,0.44%,2.06%,0.39%,0.72%,0.98%,0,0,1.59%,0
Cyclically-dependent Modularization,0.09%,1.59%,20.11%,3.84%,5.56%,4.41%,0,0,6.02%,0
Wide Hierarchy,0.17%,0.06%,0.43%,0.18%,0.22%,0,0,0,0.08%,0
Broken Hierarchy,1.30%,0.07%,1.42%,0.53%,0.27%,0,0,0,0.32%,0
Rebellious Hierarchy,0.43%,0.57%,1.21%,2.17%,0.45%,1.47%,0,0,0.25%,0
Unfactored Hierarchy,0.09%,1.06%,1.99%,0.64%,0.40%,0,0,0,0.38%,0
Long Method,0.87%,0.48%,0.14%,0.37%,0.97%,0.49%,0,0,1.22%,0
Complex Method,2.61%,1.52%,3.27%,2.04%,3.02%,0.49%,0,0,5.27%,0
Long Parameter List,4.60%,0.94%,11.51%,1.37%,2.00%,6.37%,0,0,2.76%,0
Long Statement,14.86%,14.48%,11.73%,10.36%,11.52%,11.76%,21.05%,25.00%,28.52%,0
Empty Catch Block,2.26%,0,0,0.57%,0.82%,0,0,0,0.90%,0
Magic Number,39.36%,75.73%,17.70%,23.99%,62.92%,26.96%,13.16%,0,40.14%,42.86%
Missing Default,0.26%,0.86%,5.83%,0.21%,0.92%,4.41%,7.89%,8.33%,0.21%,0
Complex Conditional,0.43%,0.20%,0.50%,0.30%,0.62%,0,0,0,1.76%,0
Hub-like Modularization,0,0.01%,0.36%,0.11%,0.07%,0,0,0,0.17%,0
Cyclic Hierarchy,0,0.05%,0.07%,0.32%,0.22%,0,0,0,0.14%,0
Multipath Hierarchy,0,0.66%,0.07%,0.02%,0.25%,0,0,0,0.05%,0
Long Identifier,0,0.14%,3.34%,49.39%,1.10%,1.47%,7.89%,0,1.00%,0
Duplicate Code,0,0.16%,0,0.05%,0,0,0,0,0.03%,0
Unexploited Encapsulation,0,0,0.78%,0.21%,0,0,0,0,1.63%,0
Multifaceted Abstraction,0,0,0.07%,0.02%,0.02%,0,0,0,0.11%,0
Imperative Abstraction,0,0,0.07%,0.02%,0.02%,0,0,0,0.02%,0
Missing Hierarchy,0,0,0,0.02%,0,0,0,0,0.48%,0
Virtual Method Call from Constructor,0,0,0.36%,0,0.05%,0,0,0,0.06%,0
