Group,Metric,Taille,Mean,Median,Std Dev,Min,Max,Total
Smelly,Change Frequency,Petite,7.446808510638298,3.0,12.957243564282917,1,260,45850
Non-Smelly,Change Frequency,Petite,6.431359064729649,3.0,12.68593975307319,1,234,74816
Smelly,Churn,Petite,77.48140328081858,32.0,161.49219455439354,0,4166,477053
Non-Smelly,Churn,Petite,72.58480185678673,30.0,157.0009042109451,0,3037,844379
Smelly,Change Frequency,Moyenne,2.8321097989147783,2.0,3.9520469240130023,1,71,8873
Non-Smelly,Change Frequency,Moyenne,3.622250157133878,2.0,5.24296353256396,1,76,17289
Smelly,Churn,Moyenne,387.9042451324609,192.0,637.0165141967418,51,10742,1215304
Non-Smelly,Churn,Moyenne,529.3855017808506,236.0,904.6295934333142,51,13280,2526757
Smelly,Change Frequency,Grande,1.8275862068965518,1.0,1.6404082128895927,1,15,689
Non-Smelly,Change Frequency,Grande,3.8215547703180213,3.0,3.6231744336480576,1,31,2163
Smelly,Churn,Grande,2047.1485411140584,1039.0,2836.7101317360357,501,29212,771775
Non-Smelly,Churn,Grande,5169.501766784452,2360.5,9605.993923181988,501,116958,2925938
