Project,Smelly_Flag,Churn_DFC_Mean,Churn_DFC_Median,Churn_DFC_Std,Churn_DIC_Mean,Churn_DIC_Median,Churn_DIC_Std,Defect_Propagation_Time_Mean,Defect_Propagation_Time_Median,Defect_Propagation_Time_Std
Blog.Core,0,24.96,8.0,62.43,57.49,36.0,66.86,377.86,252.0,415.13
Blog.Core,1,28.93,14.0,55.92,86.15,50.0,102.28,462.8,343.0,448.79
boletonet,0,8.0,8.0,5.66,879.5,879.5,1190.06,647.0,647.0,816.0
boletonet,1,30.59,10.0,76.68,621.02,203.0,855.3,947.77,842.0,750.56
drywetmidi,0,23.75,6.0,51.81,90.28,45.0,135.64,366.96,111.0,527.31
drywetmidi,1,28.42,10.0,50.23,110.91,65.0,191.75,513.84,286.0,570.48
fo-dicom,0,56.62,16.0,119.89,641.13,106.0,2072.37,274.58,134.0,387.0
fo-dicom,1,49.92,17.0,93.58,269.55,88.0,501.07,424.13,269.0,465.89
greenshot,0,24.9,2.0,147.11,260.41,102.0,425.74,1340.78,897.0,1228.05
greenshot,1,40.24,9.0,103.44,230.69,109.0,366.81,957.66,504.5,1024.85
mpv.net,0,19.53,8.0,25.52,311.59,102.0,430.97,209.3,55.0,293.5
mpv.net,1,20.38,11.0,27.82,87.52,56.0,97.45,319.58,154.0,373.29
NETworkManager,0,106.56,20.0,296.02,407.9,93.0,948.0,595.28,208.0,692.98
NETworkManager,1,218.66,23.0,588.92,230.85,70.0,606.07,614.04,385.5,606.08
PixiEditor,0,21.08,8.0,36.37,83.97,48.0,113.13,160.35,52.5,227.97
PixiEditor,1,33.32,13.0,80.06,93.11,48.0,148.16,141.66,75.0,164.76
Seal-Report,0,3.61,4.0,0.92,90.78,36.0,161.63,365.39,295.0,259.8
Seal-Report,1,14.21,6.5,16.54,411.0,139.5,518.28,598.74,396.0,530.09
Terminal.Gui,0,98.34,20.0,504.85,683.52,177.0,1509.16,204.38,60.0,329.23
Terminal.Gui,1,110.83,26.0,284.86,231.87,104.0,379.97,381.99,230.0,407.55
