Project,Design smell,Namespace,Class,File
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,DbFirstController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\DbFirstController.cs
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,MigrateController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs
Blog.Core,Unnecessary Abstraction,Blog.Core.Controllers,PM,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,HealthCheckController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\HealthCheckController.cs
Blog.Core,Unnecessary Abstraction,Blog.Core.Controllers,SwaggerLoginRequest,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs
Blog.Core,Unnecessary Abstraction,Blog.Core.Controllers,WelcomeInitData,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,PayController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PayController.cs
Blog.Core,Duplicate Abstraction,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs
Blog.Core,Unnecessary Abstraction,Blog.Core.Controllers,AssignView,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs
Blog.Core,Unnecessary Abstraction,Blog.Core.Controllers,AssignShow,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs
Blog.Core,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs
Blog.Core,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs
Blog.Core,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs
Blog.Core,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs
Blog.Core,Unutilized Abstraction,Blog.Core.Controllers,TopicController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TopicController.cs
