Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
Blog.Core,BaseApiController,0,6,0,0,6,77,6,11,0,-1,0,11
Blog.Core,BlogController,1,13,1,0,13,236,27,0,1,0.920000017,3,1
Blog.Core,DbFirstController,2,6,0,0,6,152,11,0,0,0,0,0
Blog.Core,MigrateController,9,7,0,0,4,282,21,0,0,0.430000007,1,0
Blog.Core,PM,0,0,4,0,0,7,0,0,0,-1,0,1
Blog.Core,HealthCheckController,0,1,0,0,1,14,1,0,0,-1,0,0
Blog.Core,ImgController,1,7,0,0,7,116,15,0,1,0.569999993,1,0
Blog.Core,LoginController,6,10,0,0,10,286,21,0,1,0.5,7,1
Blog.Core,SwaggerLoginRequest,0,0,2,0,0,5,0,0,0,-1,0,1
Blog.Core,ModuleController,2,7,0,0,7,142,14,0,1,0.289999992,1,0
Blog.Core,MonitorController,4,10,0,0,8,217,13,0,1,0.5,3,0
Blog.Core,WelcomeInitData,0,0,5,0,0,8,0,0,0,-1,1,1
Blog.Core,PayController,2,7,0,0,7,86,7,0,0,0,0,0
Blog.Core,PermissionController,9,13,0,0,13,686,63,0,1,0,5,0
Blog.Core,AssignView,0,0,2,0,0,5,0,0,0,-1,0,1
Blog.Core,AssignShow,0,0,2,0,0,5,0,0,0,-1,0,1
Blog.Core,RoleController,2,6,0,0,6,111,10,0,1,0.330000013,1,0
Blog.Core,TasksQzController,4,14,0,0,14,512,41,0,0,0.140000001,0,0
Blog.Core,TopicController,1,6,0,0,6,52,7,0,0,0.829999983,0,0
Blog.Core,TopicDetailController,2,6,0,0,6,144,15,0,0,0,0,0
Blog.Core,TransactionController,3,9,0,0,9,114,9,0,0,0.330000013,0,0
Blog.Core,UserController,8,8,0,0,7,234,24,0,1,0.25,2,0
Blog.Core,UserRoleController,4,4,0,0,4,76,4,0,0,0,0,0
Blog.Core,ValuesController,11,29,0,0,28,414,34,0,1,0.550000012,6,0
Blog.Core,ClaimDto,0,0,2,0,0,5,0,0,0,-1,0,1
Blog.Core,WeChatCompanyController,1,7,0,0,7,78,7,0,0,0,0,0
Blog.Core,WeChatConfigController,1,7,0,0,7,78,7,0,0,0,0,0
Blog.Core,WeChatController,2,15,0,0,15,174,15,0,0,0,0,0
Blog.Core,WeChatPushLogController,1,7,0,0,7,78,7,0,0,0,0,0
Blog.Core,WeChatSubController,1,7,0,0,7,78,7,0,0,0,0,0
Blog.Core,DepartmentController,2,9,0,0,9,172,18,0,1,0,1,0
Blog.Core,NacosController,1,5,0,0,5,116,7,0,1,0.400000006,1,0
Blog.Core,SplitDemoController,2,6,0,0,6,177,13,0,0,0,0,0
Blog.Core,ApbController,0,1,0,0,1,18,1,0,0,-1,2,0
Blog.Core,ApbController,0,1,0,0,1,20,1,0,0,-1,2,0
Blog.Core,AutofacPropertityModuleReg,0,1,0,0,0,12,1,0,0,-1,0,0
Blog.Core,GlobalRouteAuthorizeConvention,0,1,0,0,1,17,3,0,0,-1,0,0
Blog.Core,GlobalAuthorizeFilter,0,1,0,0,1,13,2,0,0,-1,0,0
Blog.Core,GlobalExceptionsFilter,3,3,0,0,3,50,6,0,0,0.670000017,0,0
Blog.Core,InternalServerErrorObjectResult,0,1,0,0,1,7,1,0,0,-1,0,0
Blog.Core,JsonErrorResponse,0,0,2,0,0,11,0,0,0,-1,0,0
Blog.Core,GlobalRoutePrefixFilter,1,2,0,0,2,37,7,0,0,0,0,0
Blog.Core,UserRegisterVo,0,0,5,0,0,8,0,0,0,-1,1,2
Blog.Core,CarInfo,0,0,2,0,0,5,0,0,0,-1,0,2
Blog.Core,UserRegisterVoValidator,0,3,0,0,3,28,3,0,0,-1,2,0
Blog.Core,CarInfoValidator,0,1,0,0,1,11,1,0,0,-1,1,1
Blog.Core,UseServiceDIAttribute,3,3,0,0,2,24,3,0,0,0,0,1
Blog.Core,CustomRouteAttribute,0,2,1,0,2,24,2,0,0,-1,1,3
Blog.Core,ApiResponse,1,1,2,1,1,42,4,0,0,0,2,0
Blog.Core,StatusCode,0,0,0,0,0,8,0,0,0,-1,0,1
Blog.Core,AuthorityScopeEnum,0,0,0,0,0,27,0,0,0,-1,0,0
Blog.Core,HttpEnum,0,0,0,0,0,5,0,0,0,-1,0,2
Blog.Core,Love,0,1,3,0,1,19,1,0,0,-1,0,0
Blog.Core,MessageModel<T>,0,5,5,0,5,71,5,0,0,-1,0,7
Blog.Core,MessageModel,0,0,4,0,0,19,0,0,0,-1,0,0
Blog.Core,DepartmentRoot<Tkey>,0,0,2,0,0,9,0,0,0,-1,1,1
Blog.Core,ModulesRoot<Tkey>,0,0,1,0,0,9,0,0,0,-1,1,1
Blog.Core,PermissionRoot<Tkey>,0,0,3,0,0,13,0,0,0,-1,1,1
Blog.Core,RoleModulePermissionRoot<Tkey>,0,0,3,0,0,18,0,0,0,-1,1,1
Blog.Core,RootEntityTkey<Tkey>,0,0,1,0,0,9,0,0,0,-1,0,15
Blog.Core,SysUserInfoRoot<Tkey>,0,0,2,0,0,11,0,0,0,-1,0,1
Blog.Core,TopicDetailRoot<Tkey>,0,0,1,0,0,4,0,0,0,-1,1,1
Blog.Core,UserRoleRoot<Tkey>,0,0,2,0,0,11,0,0,0,-1,1,1
Blog.Core,PageModel<T>,0,5,5,0,5,55,7,0,0,-1,0,4
Blog.Core,PaginationModel,0,0,4,0,0,19,0,0,0,-1,0,1
Blog.Core,ResponseEnum,0,0,0,0,0,18,0,0,0,-1,0,0
Blog.Core,TableModel<T>,0,0,4,0,0,19,0,0,0,-1,0,0
Blog.Core,ApplicationRole,0,0,10,0,0,39,0,0,0,-1,0,0
Blog.Core,ApplicationUser,0,0,7,0,0,12,0,0,0,-1,0,1
Blog.Core,AccessTrendLog,0,0,3,0,0,16,0,0,0,-1,1,1
Blog.Core,Advertisement,0,0,5,0,0,27,0,0,0,-1,1,1
Blog.Core,BlogArticle,0,0,13,0,0,63,0,0,0,-1,1,5
Blog.Core,Department,0,0,11,0,0,71,0,0,0,-1,1,2
Blog.Core,GblLogAudit,0,0,10,0,0,54,0,0,0,-1,0,0
Blog.Core,Guestbook,0,0,9,0,0,39,0,0,0,-1,2,1
Blog.Core,Modules,0,1,18,0,1,101,1,0,0,-1,1,5
Blog.Core,OperateLog,0,0,10,0,0,49,0,0,0,-1,2,1
Blog.Core,PasswordLib,0,0,13,0,0,35,0,0,0,-1,0,1
Blog.Core,Permission,0,1,24,0,1,111,1,0,0,-1,2,4
Blog.Core,Role,0,2,13,0,2,84,2,0,0,-1,1,4
Blog.Core,RoleModulePermission,0,1,10,0,1,52,1,0,0,-1,4,4
Blog.Core,SplitDemo,0,0,4,0,0,12,0,0,0,-1,0,1
Blog.Core,SysUserInfo,0,2,23,0,2,109,2,0,0,-1,1,4
Blog.Core,TasksLog,0,0,16,0,0,78,0,0,0,-1,1,2
Blog.Core,TasksQz,0,0,18,0,0,82,0,0,0,-1,2,2
Blog.Core,TestMuchTableResult,0,0,5,0,0,8,0,0,0,-1,0,3
Blog.Core,Topic,0,1,12,0,1,26,1,0,0,-1,2,3
Blog.Core,TopicDetail,0,1,14,0,1,29,1,0,0,-1,2,3
Blog.Core,UserRole,0,2,7,0,2,50,2,0,0,-1,1,2
Blog.Core,WeChatCompany,0,0,12,0,0,63,0,0,0,-1,0,1
Blog.Core,WeChatConfig,0,0,17,0,0,88,0,0,0,-1,0,1
Blog.Core,WeChatPushLog,0,0,18,0,0,94,0,0,0,-1,0,1
Blog.Core,WeChatQR,0,0,15,0,0,77,0,0,0,-1,0,0
Blog.Core,WeChatSub,0,0,17,0,0,84,0,0,0,-1,0,1
Blog.Core,WeChatUploadFile,0,0,14,0,0,73,0,0,0,-1,0,0
Blog.Core,AdvertisementViewModels,0,0,6,0,0,27,0,0,0,-1,0,0
Blog.Core,BlogViewModels,0,0,15,0,0,63,0,0,0,-1,0,1
Blog.Core,EnumDemoDto,0,0,2,0,0,8,0,0,0,-1,1,0
Blog.Core,EnumType,0,0,0,0,0,4,0,0,0,-1,0,1
Blog.Core,GuestbookViewModels,0,0,10,0,0,37,0,0,0,-1,1,0
Blog.Core,LoginInfoViewModels,0,0,4,0,0,7,0,0,0,-1,0,0
Blog.Core,ModuleViewModels,0,0,0,0,0,3,0,0,0,-1,0,0
Blog.Core,PayModel,0,0,24,0,0,99,0,0,0,-1,0,0
Blog.Core,PayNeedModel,0,0,6,0,0,28,0,0,0,-1,0,1
Blog.Core,PayRefundNeedModel,0,0,3,0,0,15,0,0,0,-1,0,1
Blog.Core,PayRefundReturnModel,0,0,7,0,0,31,0,0,0,-1,1,0
Blog.Core,PayRefundReturnOrderInfoModel,0,0,5,0,0,23,0,0,0,-1,0,1
Blog.Core,PayRefundReturnResultModel,0,0,9,0,0,39,0,0,0,-1,0,1
Blog.Core,PayResultModel,0,0,9,0,0,47,0,0,0,-1,0,0
Blog.Core,PayReturnResultModel,0,0,6,0,0,27,0,0,0,-1,0,1
Blog.Core,QuartzReflectionViewModel,0,0,3,0,0,15,0,0,0,-1,0,0
Blog.Core,SysUserInfoDtoRoot<Tkey>,0,0,2,0,0,5,0,0,0,-1,0,1
Blog.Core,ServerViewModel,0,0,7,0,0,32,0,0,0,-1,0,0
Blog.Core,SidebarMenuViewModel,0,1,10,0,1,17,1,0,0,-1,0,0
Blog.Core,SysUserInfoDto,0,0,19,0,0,22,0,0,0,-1,1,0
Blog.Core,TaskInfoDto,0,0,7,0,0,31,0,0,0,-1,0,1
Blog.Core,TestRestSharpGetDto,0,0,2,0,0,11,0,0,0,-1,1,0
Blog.Core,TestRestSharpPostDto,0,0,2,0,0,5,0,0,0,-1,0,0
Blog.Core,TokenInfoViewModel,0,0,4,0,0,7,0,0,0,-1,0,0
Blog.Core,TopgbViewModels,0,0,3,0,0,15,0,0,0,-1,0,0
Blog.Core,UploadFileDto,0,0,2,0,0,11,0,0,0,-1,0,0
Blog.Core,WeChatApiDto,0,0,24,0,0,98,0,0,0,-1,3,3
Blog.Core,WeChatCardMsgDataDto,0,0,2,0,0,11,0,0,0,-1,2,1
Blog.Core,WeChatCardMsgDataOpenIDDto,0,0,2,0,0,11,0,0,0,-1,2,0
Blog.Core,WeChatCardMsgDetailDto,0,0,16,0,0,67,0,0,0,-1,0,2
Blog.Core,WeChatMenuButtonDto,0,0,5,0,0,8,0,0,0,-1,0,2
Blog.Core,WeChatMenuDto,0,0,1,0,0,7,0,0,0,-1,1,1
Blog.Core,WeChatOpenIDsDto,0,0,1,0,0,4,0,0,0,-1,0,2
Blog.Core,WeChatPushCardMsgDetailDto,0,0,7,0,0,10,0,0,0,-1,1,1
