Project,Design smell,Namespace,Class,File
Blog.Core,Deficient Encapsulation,Blog.Core.Model,ApiResponse,DesigniteProjects\Blog.Core\Blog.Core.Model\ApiResponse.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.DB,BaseDBConfig,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.DB,BaseDBConfig,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.DB,MainDb,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\MainDb.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.DB,MainDb,DesigniteProjects\Blog.Core\Blog.Core.Common\DB\MainDb.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Base64Encoder,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Base64Encoder,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Base64Decoder,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Base64Decoder,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Block512,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper,Block1024,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs
Blog.Core,Deficient Encapsulation,Blog.Core,Permissions,DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs
Blog.Core,Deficient Encapsulation,Blog.Core,Permissions,DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs
Blog.Core,Deficient Encapsulation,Blog.Core,RoutePrefix,DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs
Blog.Core,Deficient Encapsulation,Blog.Core,RoutePrefix,DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper.SM,SM4,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper.SM,SM4Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4Helper.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Helper.SM,SM4_Context,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4_Context.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Seed,MyContext,DesigniteProjects\Blog.Core\Blog.Core.Common\Seed\MyContext.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Common.Seed,MyContext,DesigniteProjects\Blog.Core\Blog.Core.Common\Seed\MyContext.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Tasks,JobBase,DesigniteProjects\Blog.Core\Blog.Core.Tasks\QuartzNet\Jobs\JobBase.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Serilog.Es,AppSettingsFileNameConfig,DesigniteProjects\Blog.Core\Blog.Core.Serilog.Es\AppSettingsFileNameConfig.cs
Blog.Core,Deficient Encapsulation,Blog.Core.Serilog.Es,AppSettingsFileNameConfig,DesigniteProjects\Blog.Core\Blog.Core.Serilog.Es\AppSettingsFileNameConfig.cs
Blog.Core,Deficient Encapsulation,Ocelot.Provider.Nacos,NacosMiddlewareConfigurationProvider,DesigniteProjects\Blog.Core\Ocelot.Provider.Nacos\NacosMiddlewareConfigurationProvider.cs
Blog.Core,Deficient Encapsulation,Ocelot.Provider.Nacos,NacosMiddlewareConfigurationProvider,DesigniteProjects\Blog.Core\Ocelot.Provider.Nacos\NacosMiddlewareConfigurationProvider.cs
Blog.Core,Deficient Encapsulation,Ocelot.Provider.Nacos,NacosProviderFactory,DesigniteProjects\Blog.Core\Ocelot.Provider.Nacos\NacosProviderFactory.cs
Blog.Core,Deficient Encapsulation,Ocelot.Provider.Nacos,NacosProviderFactory,DesigniteProjects\Blog.Core\Ocelot.Provider.Nacos\NacosProviderFactory.cs
