Project,Design smell,Namespace,Class,File
Blog.Core,Wide Hierarchy,Blog.Core.Controllers,BaseApiController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BaseApiController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,BlogController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BlogController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,ImgController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ImgController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,LoginController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,ModuleController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ModuleController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,MonitorController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,RoleController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\RoleController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,UserController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\UserController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Controllers,ValuesController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ValuesController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Api.Controllers,DepartmentController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DepartmentController.cs
Blog.Core,Broken Hierarchy,Blog.Core.Api.Controllers,NacosController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\NacosController.cs
Blog.Core,Wide Hierarchy,Blog.Core.IServices.BASE,IBaseServices,DesigniteProjects\Blog.Core\Blog.Core.IServices\BASE\IBaseServices.cs
Blog.Core,Rebellious Hierarchy,Blog.Core.Services,GuestbookServices,DesigniteProjects\Blog.Core\Blog.Core.Services\GuestbookServices.cs
Blog.Core,Rebellious Hierarchy,Blog.Core.Common.Https.HttpPolly,HttpPollyHelper,DesigniteProjects\Blog.Core\Blog.Core.Common\Https\HttpPolly\HttpPollyHelper.cs
Blog.Core,Broken Hierarchy,Blog.Core.Tasks,Job_AccessTrendLog_Quartz,DesigniteProjects\Blog.Core\Blog.Core.Tasks\QuartzNet\Jobs\Job_AccessTrendLog_Quartz.cs
Blog.Core,Broken Hierarchy,Blog.Core.Tasks,Job_Blogs_Quartz,DesigniteProjects\Blog.Core\Blog.Core.Tasks\QuartzNet\Jobs\Job_Blogs_Quartz.cs
Blog.Core,Broken Hierarchy,Blog.Core.Tasks,Job_OperateLog_Quartz,DesigniteProjects\Blog.Core\Blog.Core.Tasks\QuartzNet\Jobs\Job_OperateLog_Quartz.cs
Blog.Core,Broken Hierarchy,Blog.Core.Tasks,Job_URL_Quartz,DesigniteProjects\Blog.Core\Blog.Core.Tasks\QuartzNet\Jobs\Job_URL_Quartz.cs
Blog.Core,Rebellious Hierarchy,Blog.Core.Extensions.Authorizations.Behaviors,UserBehaviorService,DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Behaviors\UserBehaviorService.cs
Blog.Core,Rebellious Hierarchy,Blog.Core.AuthHelper,ApiResponseHandler,DesigniteProjects\Blog.Core\Blog.Core.Extensions\Authorizations\Policys\ApiResponseHandler.cs
Blog.Core,Unfactored Hierarchy,Blog.Core.EventBus,EventBusKafka,DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusKafka\EventBusKafka.cs
Blog.Core,Rebellious Hierarchy,Blog.Core.EventBus,InMemoryEventBusSubscriptionsManager,DesigniteProjects\Blog.Core\Blog.Core.EventBus\EventBusSubscriptions\InMemoryEventBusSubscriptionsManager.cs
