Project,Implementation smell,Namespace,Class,File,Method
Blog.Core,Long Method,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,MigratePermission
Blog.Core,Complex Method,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,GetNavigationBar
Blog.Core,Complex Method,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,GetNavigationBarPro
Blog.Core,Complex Method,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,MigratePermission
Blog.Core,Complex Method,Blog.Core.Controllers,UserController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\UserController.cs,Put
Blog.Core,Long Parameter List,Blog.Core.Controllers,BaseApiController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BaseApiController.cs,SuccessPage
Blog.Core,Long Parameter List,Blog.Core.Controllers,MigrateController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,MigrateController
Blog.Core,Long Parameter List,Blog.Core.Controllers,LoginController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,LoginController
Blog.Core,Long Parameter List,Blog.Core.Controllers,LoginController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,Getjsonp
Blog.Core,Long Parameter List,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,PermissionController
Blog.Core,Long Parameter List,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,MigratePermission
Blog.Core,Long Parameter List,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,GetTaskLogs
Blog.Core,Long Parameter List,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,GetTaskOverview
Blog.Core,Long Parameter List,Blog.Core.Controllers,UserController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\UserController.cs,UserController
Blog.Core,Long Parameter List,Blog.Core.Controllers,ValuesController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ValuesController.cs,ValuesController
