Project,Method,LOC,CC,PC
Blog.Core,Success,8,1,2
Blog.Core,Success,8,1,1
Blog.Core,Failed,9,1,2
Blog.Core,Failed,9,1,2
Blog.Core,SuccessPage,8,1,6
Blog.Core,SuccessPage,8,1,2
Blog.Core,BlogController,3,1,1
Blog.Core,Get,25,5,4
Blog.Core,Get,3,1,1
Blog.Core,DetailNuxtNoPer,5,1,1
Blog.Core,GoUrl,14,3,1
Blog.Core,GetBlogsByTypesForMVP,8,2,2
Blog.Core,GetBlogByIdForMVP,7,2,1
Blog.Core,V2_Blogtest,3,1,0
Blog.Core,Post,15,2,1
Blog.Core,AddForMVP,7,1,1
Blog.Core,Put,19,4,1
Blog.Core,Delete,13,3,1
Blog.Core,ApacheTestUpdate,3,1,0
Blog.Core,DbFirstController,4,1,2
Blog.Core,GetFrameFiles,26,2,0
Blog.Core,GetFrameFilesByTableNames,18,2,2
Blog.Core,GetFrameFilesByTableNamesForEntity,15,2,2
Blog.Core,GetFrameFilesByTableNamesForController,15,2,2
Blog.Core,GetAllFrameFilesByTableNames,23,2,2
Blog.Core,MigrateController,11,1,9
Blog.Core,DataMigrateFromOld2New,79,6,0
Blog.Core,SaveData2TsvAsync,37,2,0
Blog.Core,SaveData2ExcelAsync,42,2,0
Blog.Core,InitPermissionTree,8,2,3
Blog.Core,FilterPermissionTree,10,2,3
Blog.Core,SavePermissionTreeAsync,45,6,3
Blog.Core,Get,3,1,0
Blog.Core,ImgController,3,1,1
Blog.Core,DownImg,12,1,0
Blog.Core,InsertPicture,32,7,1
Blog.Core,DownBmd,23,3,1
Blog.Core,Post,2,1,1
Blog.Core,Put,2,1,2
Blog.Core,Delete,2,1,1
Blog.Core,LoginController,8,1,6
Blog.Core,GetJwtStr,22,2,2
Blog.Core,GetJwtStrForNuxt,30,2,2
Blog.Core,GetJwtToken3,45,4,2
Blog.Core,GetJwtTokenSecret,4,1,2
Blog.Core,RefreshToken,35,5,1
Blog.Core,Getjsonp,11,1,5
Blog.Core,Md5Password,3,1,1
Blog.Core,SwgLogin,21,3,1
Blog.Core,WxLogin,3,1,2
Blog.Core,ModuleController,4,1,2
Blog.Core,Get,21,3,2
Blog.Core,Get,3,1,1
Blog.Core,Post,6,1,1
Blog.Core,Put,16,2,1
Blog.Core,Delete,22,3,1
Blog.Core,BatchPost,16,3,1
Blog.Core,MonitorController,6,1,4
Blog.Core,Server,12,1,0
Blog.Core,Get,7,2,0
Blog.Core,GetRequestApiinfoByWeek,3,1,0
Blog.Core,GetAccessApiByDate,9,1,0
Blog.Core,GetAccessApiByHour,9,1,0
Blog.Core,GetAccessLogsToday,29,1,1
Blog.Core,GetAccessLogsTrend,29,1,1
Blog.Core,GetActiveUsers,36,1,1
Blog.Core,GetIds4Users,39,3,0
Blog.Core,PayController,4,1,2
Blog.Core,PayGet,3,1,1
Blog.Core,PayPost,3,1,1
Blog.Core,PayCheckGet,3,1,1
Blog.Core,PayCheckPost,3,1,1
