Project,Design smell,Namespace,Class,File
Blog.Core,Broken Modularization,Blog.Core.Controllers,WelcomeInitData,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs
Blog.Core,Insufficient Modularization,Blog.Core.Controllers,ValuesController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ValuesController.cs
Blog.Core,Broken Modularization,Blog.Core.Filter,UserRegisterVo,DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\UserRegisterVo.cs
Blog.Core,Broken Modularization,Blog.Core.Model.IDS4DbModels,ApplicationRole,DesigniteProjects\Blog.Core\Blog.Core.Model\IDS4DbModels\ApplicationRole.cs
Blog.Core,Broken Modularization,Blog.Core.Model.IDS4DbModels,ApplicationUser,DesigniteProjects\Blog.Core\Blog.Core.Model\IDS4DbModels\ApplicationUser.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,Advertisement,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\Advertisement.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,BlogArticle,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\BlogArticle.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,Department,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\Department.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,GblLogAudit,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\GblLogAudit.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,Guestbook,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\Guestbook.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,OperateLog,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\OperateLog.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,PasswordLib,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\PasswordLib.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,TasksLog,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\TasksLog.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,TasksQz,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\TasksQz.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,TestMuchTableResult,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\TestModels.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatCompany,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatCompany.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatConfig,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatConfig.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatPushLog,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatPushLog.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatQR,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatQR.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatSub,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatSub.cs
Blog.Core,Broken Modularization,Blog.Core.Model.Models,WeChatUploadFile,DesigniteProjects\Blog.Core\Blog.Core.Model\Models\WeChatUploadFile.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,AdvertisementViewModels,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\AdvertisementViewModels.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,BlogViewModels,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\BlogViewModels.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,GuestbookViewModels,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\GuestbookViewModels.cs
Blog.Core,Broken Modularization,Blog.Core.Model.ViewModels,PayModel,DesigniteProjects\Blog.Core\Blog.Core.Model\ViewModels\PayModel.cs
