Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
NETworkManager,Resources,2,1,15,0,0,158,1,0,0,0,0,0
NETworkManager,BitCalculatorSettingsView,1,2,0,0,1,33,3,0,0,0,0,0
NETworkManager,ConfirmDeleteDialog,1,2,0,0,1,33,3,0,0,0,0,0
NETworkManager,DashboardView,4,2,0,0,1,69,5,0,0,0,0,0
NETworkManager,LookupHostView,1,3,0,0,1,40,4,0,0,0.670000017,0,0
NETworkManager,SNMPOIDProfilesDialog,3,3,0,0,1,90,6,0,0,0.670000017,0,0
NETworkManager,SubnetCalculatorHostView,1,3,0,0,1,40,4,0,0,0.670000017,0,0
NETworkManager,App,1,2,0,0,2,47,3,0,0,0,0,0
NETworkManager,GeneratedInternalTypeHelper,0,5,0,0,0,44,5,0,0,-1,0,0
NETworkManager,StaticStrings,2,1,80,0,0,743,1,0,0,0,0,0
NETworkManager,Strings,2,1,1225,0,0,11106,1,0,0,0,0,0
