Project,Implementation smell,Namespace,Class,File,Method
NETworkManager,Long Identifier,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,
NETworkManager,Long Identifier,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,
NETworkManager,Long Identifier,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,
NETworkManager,Long Statement,NETworkManager.Views,BitCalculatorSettingsView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\BitCalculatorSettingsView.g.cs,InitializeComponent
NETworkManager,Long Statement,NETworkManager.Views,ConfirmDeleteDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\ConfirmDeleteDialog.g.cs,InitializeComponent
NETworkManager,Long Statement,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,InitializeComponent
NETworkManager,Long Statement,NETworkManager.Views,LookupHostView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\LookupHostView.g.cs,InitializeComponent
NETworkManager,Long Statement,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,InitializeComponent
NETworkManager,Long Statement,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
NETworkManager,Long Statement,NETworkManager.Views,SubnetCalculatorHostView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SubnetCalculatorHostView.g.cs,InitializeComponent
NETworkManager,Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\GeneratedInternalTypeHelper.g.cs,CreateInstance
NETworkManager,Magic Number,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,Connect
NETworkManager,Magic Number,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,Connect
NETworkManager,Magic Number,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
NETworkManager,Magic Number,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
NETworkManager,Magic Number,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
NETworkManager,Missing Default,NETworkManager.Views,DashboardView,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\DashboardView.g.cs,Connect
NETworkManager,Missing Default,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
NETworkManager,Missing Default,NETworkManager.Views,SNMPOIDProfilesDialog,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\Views\SNMPOIDProfilesDialog.g.cs,Connect
