Project,Method,LOC,CC,PC
NETworkManager,Resources,2,1,0
NETworkManager,InitializeComponent,13,2,0
NETworkManager,Connect,3,1,2
NETworkManager,InitializeComponent,13,2,0
NETworkManager,Connect,3,1,2
NETworkManager,InitializeComponent,13,2,0
NETworkManager,Connect,15,3,2
NETworkManager,InitializeComponent,13,2,0
NETworkManager,_CreateDelegate,3,1,2
NETworkManager,Connect,3,1,2
NETworkManager,InitializeComponent,13,2,0
NETworkManager,Connect,20,3,2
NETworkManager,Connect,17,1,2
NETworkManager,InitializeComponent,13,2,0
NETworkManager,_CreateDelegate,3,1,2
NETworkManager,Connect,3,1,2
NETworkManager,InitializeComponent,25,2,0
NETworkManager,Main,5,1,0
NETworkManager,CreateInstance,4,1,2
NETworkManager,GetPropertyValue,3,1,3
NETworkManager,SetPropertyValue,3,1,4
NETworkManager,CreateDelegate,6,1,3
NETworkManager,AddEventHandler,3,1,3
NETworkManager,StaticStrings,2,1,0
NETworkManager,Strings,2,1,0
