Project,File Path,Line Count
NETworkManager,DesigniteProjects\NETworkManager\Source\GlobalAssemblyInfo.cs,10
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\App.xaml.cs,269
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\AssemblyInfo.cs,3
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\CommandLineWindow.xaml.cs,21
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\MainWindow.xaml.cs,2016
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\ProfileDialogManager.cs,692
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\RunCommandInfo.cs,36
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\RunCommandManager.cs,82
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\RunCommandType.cs,8
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\StatusWindow.xaml.cs,195
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\AWSSessionManagerControl.xaml.cs,263
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\DragablzInterTabClient.cs,21
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\DragablzTabHostWindow.xaml.cs,442
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\DragablzTabItem.cs,83
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\IDragablzTabItem.cs,17
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\IEmbeddedWindow.cs,15
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\LvlChartsBandwidthTooltip.xaml.cs,37
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\LvlChartsPingTimeTooltip.xaml.cs,37
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\LvlChartsWiFiChannelTooltip.xaml.cs,37
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\PowerShellControl.xaml.cs,263
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\PuTTYControl.xaml.cs,287
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\RemoteDesktopControl.xaml.cs,533
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\RunCommandComboBox.cs,337
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\TigerVNCControl.xaml.cs,269
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\UserControlBase.cs,19
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Controls\WebConsoleControl.xaml.cs,220
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Generated Files\WinRTEventHelpers.cs,13
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\Generated Files\CsWinRT\WinRTEventHelpers.cs,13
NETworkManager,"DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs",4
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\App.g.cs,90
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\App.g.i.cs,90
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\GeneratedInternalTypeHelper.g.cs,62
NETworkManager,DesigniteProjects\NETworkManager\Source\NETworkManager\obj\Debug\net8.0-windows10.0.17763.0\win-x64\GeneratedInternalTypeHelper.g.i.cs,62
