Project,Design smell,Namespace,Class,File,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Extensions,ApplicationBuilderExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ApplicationBuilderExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.WebHost.IdentityServer,IdentityServerConfig,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\IdentityServer\IdentityServerConfig.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost,MigrationSimplDbContextFactory,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\MigrationSimplDbContextFactory.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Migrations,AddedProductBackInStockSubscription,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240311113057_AddedProductBackInStockSubscription.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Duplicate Abstraction,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Data,IRepository,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Data\IRepository.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Extensions,DictionaryExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Extensions\DictionaryExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Extensions,HttpClientExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Extensions\HttpClientExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Extensions,JsonExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Extensions\JsonExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Extensions,QueryableExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Extensions\QueryableExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Helpers,ReflectionHelper,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Helpers\ReflectionHelper.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Localization,Resource,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Localization\Resource.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Models,EntityBase,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\EntityBase.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Models,EntityBaseWithTypedId<TId>,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\EntityBaseWithTypedId.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Models,IEntityWithTypedId,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\IEntityWithTypedId.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Models,IExtendableObject,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\IExtendableObject.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Modules,MissingModuleManifestException,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Modules\MissingModuleManifestException.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Modules,ModuleInfo,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Modules\ModuleInfo.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Tasks.Scheduling,SchedulerTasksExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Tasks\Scheduling\SchedulerTasksExtensions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web,HttpRequestExtentions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\HttpRequestExtentions.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web,ThemeableViewLocationExpander,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\ThemeableViewLocationExpander.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web,ViewComponentExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\ViewComponentExtensions.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Pagination,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Pagination.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Search,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Search.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableExtension,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableExtension.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableParam,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableParam.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,SmartTableResult<T>,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\SmartTableResult.cs,
SimplCommerce,Unnecessary Abstraction,SimplCommerce.Infrastructure.Web.SmartTable,Sort,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Web\SmartTable\Sort.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Components,DefaultShippingAddressViewComponent,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Components\DefaultShippingAddressViewComponent.cs,
SimplCommerce,Unutilized Abstraction,SimplCommerce.Module.Core.Areas.Core.Controllers,AccountController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\AccountController.cs,
