Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,ApplicationBuilderExtensions,0,3,0,0,3,79,4,0,0,-1,4,0
SimplCommerce,ServiceCollectionExtensions,1,8,0,0,5,222,18,0,0,0.620000005,13,0
SimplCommerce,IdentityServerConfig,0,0,3,0,0,44,0,0,0,-1,0,1
SimplCommerce,SimplProfileService,2,3,0,0,3,54,8,0,0,0,1,1
SimplCommerce,MigrationSimplDbContextFactory,0,1,0,0,1,21,1,0,0,-1,2,0
SimplCommerce,InitDb,0,3,0,0,0,6440,3,0,0,-1,0,0
SimplCommerce,AddedCatalogSetting,0,3,0,0,0,3548,3,0,0,-1,0,0
SimplCommerce,AddedProductBackInStockSubscription,0,3,0,0,0,3568,3,0,0,-1,0,0
SimplCommerce,SimplDbContextModelSnapshot,0,1,0,0,0,3541,1,0,0,-1,1,0
SimplCommerce,ICustomModelBuilder,0,1,0,0,0,4,1,24,0,-1,0,25
SimplCommerce,IRepository,0,0,0,0,0,3,0,5,1,-1,2,124
SimplCommerce,IRepositoryWithTypedId,0,7,0,0,0,10,7,2,0,-1,1,43
SimplCommerce,DictionaryExtensions,0,4,0,0,3,65,7,0,0,-1,0,0
SimplCommerce,HttpClientExtensions,1,4,0,0,4,34,4,0,0,0,0,0
SimplCommerce,JsonExtensions,0,1,0,0,1,20,3,0,0,-1,0,0
SimplCommerce,QueryableExtensions,0,1,0,0,1,30,3,0,0,-1,0,0
SimplCommerce,GlobalConfiguration,0,1,6,0,1,13,1,0,0,-1,2,37
SimplCommerce,Result,0,5,2,0,4,26,5,1,0,-1,1,4
SimplCommerce,Result<TValue>,0,1,1,0,0,9,1,0,1,-1,1,3
SimplCommerce,ValidationException,0,1,3,0,1,17,1,0,0,-1,0,1
SimplCommerce,CsvConverter,0,2,0,0,2,91,13,0,0,-1,0,2
SimplCommerce,CurrencyHelper,1,1,0,0,1,9,1,0,0,0,0,4
SimplCommerce,EnumHelper,0,2,0,0,2,32,6,0,0,-1,0,3
SimplCommerce,ReflectionHelper,0,1,0,0,1,28,5,0,0,-1,0,0
SimplCommerce,StringHelper,0,6,0,0,4,116,24,0,0,-1,0,1
SimplCommerce,TypeHelper,0,4,0,0,3,49,10,0,0,-1,0,1
SimplCommerce,Culture,0,1,2,0,1,11,1,0,0,-1,2,6
SimplCommerce,LanguageDirection,0,0,0,0,0,5,0,0,0,-1,0,1
