Project,Design smell,Namespace,Class,File
SimplCommerce,Wide Hierarchy,SimplCommerce.Infrastructure.Data,ICustomModelBuilder,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Data\ICustomModelBuilder.cs
SimplCommerce,Cyclic Hierarchy,SimplCommerce.Infrastructure,Result,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Result.cs
SimplCommerce,Wide Hierarchy,SimplCommerce.Infrastructure.Models,EntityBase,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\EntityBase.cs
SimplCommerce,Broken Hierarchy,SimplCommerce.Infrastructure.Models,EntityBaseWithTypedId<TId>,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\EntityBaseWithTypedId.cs
SimplCommerce,Wide Hierarchy,SimplCommerce.Infrastructure.Modules,IModuleInitializer,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Modules\IModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Core.Extensions,WorkContext,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Extensions\WorkContext.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Core,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Catalog,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\ModuleInitializer.cs
SimplCommerce,Broken Hierarchy,SimplCommerce.Module.Orders.Areas.Orders.ViewModels,AddressFormVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\Areas\Orders\ViewModels\AddressFormVm.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Orders,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Orders\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Cms,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Cms\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.SampleData,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.SampleData\ModuleInitializer.cs
SimplCommerce,Rebellious Hierarchy,SimplCommerce.Module.Localization,ModuleInitializer,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Localization\ModuleInitializer.cs
