Project,Implementation smell,Namespace,Class,File,Method,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Down,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,AddedProductBackInStockSubscription,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240311113057_AddedProductBackInStockSubscription.cs,BuildTargetModel,
SimplCommerce,Long Method,SimplCommerce.WebHost.Migrations,SimplDbContextModelSnapshot,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\SimplDbContextModelSnapshot.cs,BuildModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddModelBindingMessagesLocalizer,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddModelBindingMessagesLocalizer,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddModelBindingMessagesLocalizer,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddModelBindingMessagesLocalizer,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddCustomizedIdentity,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddCustomizedIdentity,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddCustomizedIdentity,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,AddCustomizedDataStore,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Extensions,ServiceCollectionExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Extensions\ServiceCollectionExtensions.cs,TryLoadModuleAssembly,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,Up,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,InitDb,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20230930154048_InitDb.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
SimplCommerce,Long Statement,SimplCommerce.WebHost.Migrations,AddedCatalogSetting,DesigniteProjects\SimplCommerce\src\SimplCommerce.WebHost\Migrations\20240217163906_AddedCatalogSetting.cs,BuildTargetModel,
