Project,Method,LOC,CC,PC
SimplCommerce,UseCustomizedIdentity,20,1,1
SimplCommerce,UseCustomizedStaticFiles,34,2,2
SimplCommerce,UseCustomizedRequestLocalization,19,1,1
SimplCommerce,AddModules,19,4,1
SimplCommerce,AddCustomizedMvc,22,2,2
SimplCommerce,AddModelBindingMessagesLocalizer,18,1,2
SimplCommerce,AddApplicationPart,16,4,2
SimplCommerce,AddCustomizedIdentity,78,1,2
SimplCommerce,AddCustomizedDataStore,8,1,2
SimplCommerce,TryLoadModuleAssembly,36,4,2
SimplCommerce,HandleRemoteLoginFailure,5,1,1
SimplCommerce,SimplProfileService,4,1,2
SimplCommerce,GetProfileDataAsync,28,4,1
SimplCommerce,IsActiveAsync,13,3,1
SimplCommerce,CreateDbContext,17,1,1
SimplCommerce,Up,2738,1,1
SimplCommerce,Down,173,1,1
SimplCommerce,BuildTargetModel,3516,1,1
SimplCommerce,Up,6,1,1
SimplCommerce,Down,6,1,1
SimplCommerce,BuildTargetModel,3523,1,1
SimplCommerce,Up,15,1,1
SimplCommerce,Down,4,1,1
SimplCommerce,BuildTargetModel,3536,1,1
SimplCommerce,BuildModel,3536,1,1
SimplCommerce,Build,0,1,1
SimplCommerce,Query,0,1,0
SimplCommerce,Add,0,1,1
SimplCommerce,AddRange,0,1,1
SimplCommerce,BeginTransaction,0,1,0
SimplCommerce,SaveChanges,0,1,0
SimplCommerce,SaveChangesAsync,0,1,0
SimplCommerce,Remove,0,1,1
SimplCommerce,TryGetValue,9,2,3
SimplCommerce,GetOrDefault,5,2,2
SimplCommerce,GetOrAdd,7,2,3
SimplCommerce,GetOrAdd,3,1,3
SimplCommerce,ReadAsJsonAsync,7,1,1
SimplCommerce,PostJsonAsync,3,1,3
SimplCommerce,PutJsonAsync,3,1,3
SimplCommerce,SendJsonAsync,13,1,4
SimplCommerce,ToJsonString,12,3,3
SimplCommerce,OrderByName,26,3,3
SimplCommerce,RegisterAngularModule,3,1,1
SimplCommerce,Result,4,1,2
SimplCommerce,Fail,3,1,1
SimplCommerce,Ok,3,1,0
SimplCommerce,Ok,3,1,1
SimplCommerce,Fail,3,1,1
SimplCommerce,Result,3,1,3
SimplCommerce,ValidationException,4,1,2
SimplCommerce,ReadCsvStream,26,4,3
SimplCommerce,ExportCsv,60,9,3
SimplCommerce,IsZeroDecimalCurrencies,4,1,1
SimplCommerce,ToDictionary,13,3,1
SimplCommerce,GetDisplayName,14,3,1
SimplCommerce,IsAssignableToGenericType,19,5,2
SimplCommerce,ToUrlFriendly,26,5,1
SimplCommerce,RemoveDiacritics,13,3,1
SimplCommerce,Strip,17,4,2
SimplCommerce,Strip,13,3,2
SimplCommerce,ConvertEdgeCases,8,2,1
SimplCommerce,ConvertEdgeCases,29,7,1
SimplCommerce,IsFunc,12,3,1
SimplCommerce,IsFunc,3,1,1
SimplCommerce,IsPrimitiveExtendedIncludingNullable,11,3,2
SimplCommerce,IsPrimitiveExtended,16,3,2
SimplCommerce,Culture,3,1,1
SimplCommerce,GetData,17,3,3
SimplCommerce,GetData,21,4,3
SimplCommerce,SetData,9,1,4
SimplCommerce,SetData,37,8,4
SimplCommerce,RemoveData,21,4,2
SimplCommerce,CheckNotNull,9,3,1
SimplCommerce,IsValid,3,1,0
SimplCommerce,Validate,5,1,0
SimplCommerce,GetModules,0,1,0
SimplCommerce,ConfigureServices,0,1,1
SimplCommerce,Configure,0,1,2
SimplCommerce,MissingModuleManifestException,2,1,0
SimplCommerce,MissingModuleManifestException,2,1,1
SimplCommerce,MissingModuleManifestException,3,1,2
SimplCommerce,GetModules,15,2,0
SimplCommerce,ExecuteAsync,0,1,1
SimplCommerce,SchedulerBackgroundService,12,2,1
SimplCommerce,ExecuteAsync,7,2,1
SimplCommerce,ExecuteOnceAsync,27,2,1
SimplCommerce,AddScheduler,0,1,1
SimplCommerce,AddScheduler,0,1,2
SimplCommerce,Increment,4,1,0
SimplCommerce,ShouldRun,3,1,1
SimplCommerce,GetFullHostingUrlRoot,3,1,1
SimplCommerce,RenderViewToStringAsync,0,1,2
SimplCommerce,RazorViewRenderer,5,1,3
SimplCommerce,RenderViewToStringAsync,21,1,2
SimplCommerce,FindView,17,3,2
SimplCommerce,GetActionContext,3,1,0
SimplCommerce,ExpandViewLocations,15,2,2
SimplCommerce,PopulateValues,17,3,1
SimplCommerce,GetViewPath,25,4,2
SimplCommerce,InvariantDecimalModelBinder,3,1,2
SimplCommerce,BindModelAsync,20,4,1
SimplCommerce,GetBinder,9,3,1
SimplCommerce,ToSmartTableResult,10,1,2
SimplCommerce,ToSmartTableResult,11,1,3
SimplCommerce,ToSmartTableResultNoProjection,10,1,3
SimplCommerce,AppendSortAndPagingation,18,3,2
SimplCommerce,DefaultShippingAddressViewComponent,4,1,2
SimplCommerce,InvokeAsync,21,2,0
SimplCommerce,AccountController,9,1,7
SimplCommerce,Login,4,1,1
SimplCommerce,Login,30,5,2
SimplCommerce,Register,4,1,1
SimplCommerce,Register,24,3,2
SimplCommerce,LogOff,5,1,0
SimplCommerce,ExternalLogin,6,1,2
SimplCommerce,ExternalLoginCallback,36,6,2
SimplCommerce,ExternalLoginConfirmation,27,5,2
SimplCommerce,ConfirmEmail,13,3,2
SimplCommerce,ForgotPassword,3,1,0
SimplCommerce,ForgotPassword,20,3,1
SimplCommerce,ForgotPasswordConfirmation,3,1,0
SimplCommerce,ResetPassword,3,1,1
SimplCommerce,ResetPassword,19,4,1
SimplCommerce,ResetPasswordConfirmation,3,1,0
SimplCommerce,SendCode,10,2,2
SimplCommerce,SendCode,27,6,1
SimplCommerce,VerifyCode,9,2,3
SimplCommerce,VerifyCode,24,4,1
SimplCommerce,AccessDenied,3,1,0
SimplCommerce,AddErrors,6,2,1
SimplCommerce,GetCurrentUserAsync,3,1,0
SimplCommerce,RedirectToLocal,10,2,1
SimplCommerce,AppSettingApiController,4,1,2
SimplCommerce,Get,7,1,0
SimplCommerce,Put,18,4,1
SimplCommerce,CommonApiController,3,1,1
SimplCommerce,UploadFile,6,1,1
SimplCommerce,CountryApiController,3,1,1
SimplCommerce,Get,15,2,1
SimplCommerce,List,26,3,1
SimplCommerce,Get,19,2,1
SimplCommerce,Put,20,3,2
SimplCommerce,Post,19,2,1
SimplCommerce,Delete,17,2,1
SimplCommerce,CustomerGroupApiController,3,1,1
SimplCommerce,List,37,6,1
SimplCommerce,Get,8,1,0
SimplCommerce,Get,15,2,1
SimplCommerce,Post,15,2,1
SimplCommerce,Put,17,3,2
SimplCommerce,Delete,10,2,1
SimplCommerce,HomeTemplate,3,1,0
SimplCommerce,DistrictApiController,3,1,1
SimplCommerce,GetDistricts,12,1,1
SimplCommerce,EntityApiController,3,1,1
SimplCommerce,Get,20,3,2
SimplCommerce,EntityTypeApiController,3,1,1
SimplCommerce,GetMenuable,10,1,0
SimplCommerce,HomeAdminController,3,1,1
SimplCommerce,Index,7,1,0
SimplCommerce,HomeController,5,1,3
SimplCommerce,TestError,3,1,0
SimplCommerce,Index,22,2,0
SimplCommerce,ErrorWithCode,7,2,1
SimplCommerce,Error,9,2,0
SimplCommerce,ManageController,9,1,7
SimplCommerce,Index,22,1,1
SimplCommerce,UserInfo,5,1,0
SimplCommerce,UserInfo,10,2,1
SimplCommerce,UserSettings,8,1,0
SimplCommerce,UserSettings,13,3,1
SimplCommerce,RemoveLogin,14,3,1
SimplCommerce,ChangePassword,3,1,0
SimplCommerce,ChangePassword,20,4,1
SimplCommerce,SetPassword,3,1,0
SimplCommerce,SetPassword,19,4,1
SimplCommerce,ManageLogins,21,2,1
SimplCommerce,LinkLogin,6,1,1
SimplCommerce,LinkLoginCallback,15,3,0
SimplCommerce,AddErrors,6,2,1
SimplCommerce,GetCurrentUserAsync,3,1,0
SimplCommerce,RoleApiController,3,1,1
SimplCommerce,Get,8,1,0
SimplCommerce,StateOrProvinceApiController,4,1,2
SimplCommerce,GetStatesOrProvinces,12,1,1
SimplCommerce,Get,11,1,0
SimplCommerce,List,22,3,2
SimplCommerce,Get,16,2,1
SimplCommerce,Put,16,3,2
SimplCommerce,Post,22,3,1
SimplCommerce,Delete,17,2,1
SimplCommerce,ThemeApiController,4,1,2
SimplCommerce,Get,4,1,0
SimplCommerce,GetOnlineThemes,7,1,0
SimplCommerce,Details,9,1,1
SimplCommerce,Install,13,2,1
SimplCommerce,Delete,4,1,1
SimplCommerce,Post,8,2,1
SimplCommerce,Download,5,1,1
SimplCommerce,UserAddressController,8,1,6
SimplCommerce,List,26,2,0
SimplCommerce,Get,19,2,1
SimplCommerce,Create,5,1,0
SimplCommerce,Create,29,2,1
SimplCommerce,Edit,25,2,1
SimplCommerce,Edit,26,3,2
SimplCommerce,SetAsDefault,12,2,1
SimplCommerce,Delete,16,3,1
SimplCommerce,PopulateAddressFormData,44,4,1
SimplCommerce,UserApiController,4,1,2
SimplCommerce,QuickSearch,19,3,1
SimplCommerce,List,57,9,1
SimplCommerce,Get,21,2,1
SimplCommerce,Post,36,5,1
SimplCommerce,Put,27,4,2
SimplCommerce,Delete,12,2,1
SimplCommerce,AddOrDeleteRoles,23,4,2
SimplCommerce,AddOrDeleteCustomerGroups,23,4,2
SimplCommerce,AddErrors,6,2,1
SimplCommerce,WidgetApiController,3,1,1
SimplCommerce,Get,9,1,0
SimplCommerce,WidgetInstanceApiController,4,1,2
SimplCommerce,Get,16,1,0
SimplCommerce,Delete,10,2,1
SimplCommerce,GetNumberOfWidgets,4,1,0
SimplCommerce,WidgetZoneApiController,3,1,1
SimplCommerce,Get,9,1,0
SimplCommerce,UserSettingViewModel,4,1,0
SimplCommerce,Build,76,1,1
SimplCommerce,SeedData,47,1,1
SimplCommerce,Repository,2,1,1
SimplCommerce,RepositoryWithTypedId,4,1,1
SimplCommerce,Add,3,1,1
SimplCommerce,AddRange,3,1,1
SimplCommerce,BeginTransaction,3,1,0
SimplCommerce,SaveChanges,3,1,0
SimplCommerce,SaveChangesAsync,3,1,0
SimplCommerce,Query,3,1,0
SimplCommerce,Remove,3,1,1
SimplCommerce,SimplDbContext,2,1,1
SimplCommerce,SaveChanges,4,1,1
SimplCommerce,SaveChangesAsync,4,1,2
SimplCommerce,OnModelCreating,43,6,1
SimplCommerce,ValidateEntities,15,4,0
SimplCommerce,RegisterConvention,15,4,1
SimplCommerce,RegisterEntities,7,2,2
SimplCommerce,RegisterCustomMappings,11,3,2
SimplCommerce,EFConfigProvider,3,1,1
SimplCommerce,Load,8,1,0
SimplCommerce,EFConfigSource,3,1,1
SimplCommerce,Build,3,1,1
SimplCommerce,EFConfigurationDbContext,2,1,1
SimplCommerce,OnModelCreating,3,1,1
SimplCommerce,AddEntityFrameworkConfig,3,1,2
SimplCommerce,GetCurrentHostName,0,1,0
SimplCommerce,GetCurrentUser,0,1,0
SimplCommerce,GetTextPartsFunction,9,1,2
SimplCommerce,SimplRoleStore,2,1,1
SimplCommerce,SimplSignInManager,3,1,8
SimplCommerce,SignInWithClaimsAsync,5,1,3
SimplCommerce,SimplUserStore,2,1,2
SimplCommerce,SlugRouteValueTransformer,3,1,1
SimplCommerce,TransformAsync,23,3,2
SimplCommerce,WorkContext,6,1,4
SimplCommerce,GetCurrentHostName,0,1,0
SimplCommerce,GetCurrentUser,35,5,0
SimplCommerce,GetUserGuidFromCookies,7,2,0
SimplCommerce,SetUserGuidCookies,9,1,0
SimplCommerce,SettingDefinition,12,2,5
SimplCommerce,SetExtraProperties,6,2,1
SimplCommerce,AddSettingDefinitionItems,4,1,2
SimplCommerce,SettingDefinitionProvider,3,1,0
SimplCommerce,GetOrNull,3,1,1
SimplCommerce,GetAll,3,1,0
SimplCommerce,AddOrUpdate,10,3,1
SimplCommerce,ConfigureServices,12,1,1
SimplCommerce,Configure,2,1,2
SimplCommerce,AppendVersionTagHelper,3,1,1
SimplCommerce,Process,17,4,2
SimplCommerce,AppendVersionToUrl,8,2,1
SimplCommerce,Address,1,1,0
SimplCommerce,Address,3,1,1
SimplCommerce,AppSetting,3,1,1
SimplCommerce,Content,4,1,0
SimplCommerce,Country,3,1,1
SimplCommerce,CustomerGroup,4,1,0
SimplCommerce,District,1,1,0
SimplCommerce,District,3,1,1
SimplCommerce,EntityType,2,1,0
SimplCommerce,EntityType,3,1,1
SimplCommerce,StateOrProvince,2,1,0
