Project,Design smell,Namespace,Class,File
SimplCommerce,Broken Modularization,SimplCommerce.Infrastructure.Localization,LocalizedContentProperty,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Localization\LocalizedContentProperty.cs
SimplCommerce,Broken Modularization,SimplCommerce.Infrastructure.Modules,ModuleInfo,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Modules\ModuleInfo.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Infrastructure,Result,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Result.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Infrastructure.Localization,Culture,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Localization\Culture.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Infrastructure.Models,ExtendableObjectExtensions,DesigniteProjects\SimplCommerce\src\SimplCommerce.Infrastructure\Models\ExtendableObjectExtensions.cs
SimplCommerce,Insufficient Modularization,SimplCommerce.Module.Core.Areas.Core.Controllers,AccountController,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\Controllers\AccountController.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,RegisterViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\RegisterViewModel.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels.Account,VerifyCodeViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Account\VerifyCodeViewModel.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,CountryForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\CountryForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,ProjectDetailsVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\ProjectDetailsVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,StateOrProvinceForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\StateOrProvinceForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,UserAddressFormViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\UserAddressFormViewModel.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,UserAddressListItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\UserAddressListItem.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,UserForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\UserForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,WidgetFormBase,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\WidgetFormBase.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels,WidgetInstanceViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\WidgetInstanceViewModel.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Areas.Core.ViewModels.Manage,IndexViewModel,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Areas\Core\ViewModels\Manage\IndexViewModel.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Models,Entity,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Entity.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Core.Models,UserAddress,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\UserAddress.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,Address,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Address.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,Country,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Country.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,CustomerGroup,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\CustomerGroup.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,Role,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Role.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,User,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\User.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,Address,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\Address.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,CustomerGroup,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\CustomerGroup.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Core.Models,CustomerGroupUser,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Core\Models\CustomerGroupUser.cs
