Project,File Path,Line Count
SimplCommerce,DesigniteProjects\SimplCommerce\build\SimplCommerce.MSBuildTasks\CopyModuleTask.cs,148
SimplCommerce,DesigniteProjects\SimplCommerce\build\SimplCommerce.MSBuildTasks\Module.cs,14
SimplCommerce,DesigniteProjects\SimplCommerce\build\SimplCommerce.MSBuildTasks\ModuleManifest.cs,20
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\ModuleInitializer.cs,28
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Areas\ActivityLog\Controllers\MostViewedEntityController.cs,30
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Data\ActivityLogCustomModelBuilder.cs,16
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Data\ActivityRepository.cs,34
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Data\IActivityTypeRepository.cs,11
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Events\EntityViewedHandler.cs,39
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Models\Activity.cs,23
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Models\ActivityType.cs,17
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\Models\MostViewEntityDto.cs,15
SimplCommerce,"DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs",4
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ActivityLog\obj\Debug\net8.0\SimplCommerce.Module.ActivityLog.AssemblyInfo.cs,23
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\ModuleInitializer.cs,33
SimplCommerce,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Catalog\Areas\Catalog\Components\CategoryBreadcrumbViewComponent.cs,68
