Project,Method,LOC,CC,PC
Terminal.Gui,Strings,2,1,0
Terminal.Gui,Cursor,0,1,1
Terminal.Gui,CursorEnd,0,1,0
Terminal.Gui,CursorLeft,0,1,1
Terminal.Gui,CursorRight,0,1,1
Terminal.Gui,CursorStart,0,1,0
Terminal.Gui,Delete,0,1,1
Terminal.Gui,InsertAt,0,1,2
Terminal.Gui,OnTextChanged,0,1,1
Terminal.Gui,NetMaskedTextProvider,1,1,1
Terminal.Gui,Cursor,16,4,1
Terminal.Gui,CursorStart,5,1,0
Terminal.Gui,CursorEnd,5,1,0
Terminal.Gui,CursorLeft,4,1,1
Terminal.Gui,CursorRight,4,1,1
Terminal.Gui,Delete,9,2,1
Terminal.Gui,InsertAt,9,2,2
Terminal.Gui,OnTextChanged,1,1,1
Terminal.Gui,TextRegexProvider,1,1,1
Terminal.Gui,Cursor,11,3,1
Terminal.Gui,CursorStart,1,1,0
Terminal.Gui,CursorEnd,1,1,0
Terminal.Gui,CursorLeft,7,2,1
Terminal.Gui,CursorRight,7,2,1
Terminal.Gui,Delete,9,2,1
Terminal.Gui,InsertAt,12,2,2
Terminal.Gui,OnTextChanged,1,1,1
Terminal.Gui,CompileMask,1,1,0
Terminal.Gui,SetupText,7,2,0
Terminal.Gui,Validate,4,1,1
Terminal.Gui,TextValidateField,60,1,0
Terminal.Gui,OnMouseEvent,15,3,1
Terminal.Gui,OnDrawContent,31,5,1
Terminal.Gui,OnProcessKeyDown,17,4,1
Terminal.Gui,PositionCursor,17,2,0
Terminal.Gui,BackspaceKeyHandler,10,2,0
Terminal.Gui,CursorLeft,10,2,0
Terminal.Gui,CursorRight,10,2,0
Terminal.Gui,DeleteKeyHandler,9,2,0
Terminal.Gui,EndKeyHandler,5,1,0
Terminal.Gui,GetMargins,15,4,1
Terminal.Gui,HomeKeyHandler,5,1,0
