Project,Design smell,Namespace,Class,File,
greenshot,Duplicate Abstraction,Greenshot.Configuration,LangKey,DesigniteProjects\greenshot\src\Greenshot\Configuration\LanguageKeys.cs,
greenshot,Unutilized Abstraction,Greenshot.Controls,ContextMenuToolStripProfessionalRenderer,DesigniteProjects\greenshot\src\Greenshot\Controls\ContextMenuToolStripProfessionalRenderer.cs,
greenshot,Duplicate Abstraction,Greenshot.Controls,ContextMenuToolStripProfessionalRenderer,DesigniteProjects\greenshot\src\Greenshot\Controls\ContextMenuToolStripProfessionalRenderer.cs,
greenshot,Duplicate Abstraction,Greenshot.Destinations,ClipboardDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\ClipboardDestination.cs,
greenshot,Duplicate Abstraction,Greenshot.Destinations,ClipboardDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\ClipboardDestination.cs,
greenshot,Feature Envy,Greenshot.Destinations,FileDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\FileDestination.cs,
greenshot,Duplicate Abstraction,Greenshot.Destinations,PrinterDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\PrinterDestination.cs,
greenshot,Unnecessary Abstraction,Greenshot.Forms,AnimatingBaseForm,DesigniteProjects\greenshot\src\Greenshot\Forms\AnimatingBaseForm.cs,
greenshot,Unnecessary Abstraction,Greenshot.Forms,BaseForm,DesigniteProjects\greenshot\src\Greenshot\Forms\BaseForm.cs,
greenshot,Feature Envy,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs,
greenshot,Feature Envy,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs,
greenshot,Feature Envy,Greenshot.Forms,PrintOptionsDialog,DesigniteProjects\greenshot\src\Greenshot\Forms\PrintOptionsDialog.cs,
greenshot,Feature Envy,Greenshot.Forms,SettingsForm,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.cs,
