Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
greenshot,LangKey,0,0,0,0,0,56,0,0,0,-1,0,14
greenshot,ContextMenuToolStripProfessionalRenderer,3,2,0,0,1,22,3,0,0,0,4,0
greenshot,ClipboardDestination,0,1,5,0,1,36,1,0,1,-1,10,1
greenshot,EmailDestination,3,2,6,0,1,53,3,0,1,1,9,1
greenshot,FileDestination,2,2,5,0,1,111,7,0,1,0,15,1
greenshot,FileWithDialogDestination,1,1,5,0,1,31,2,0,1,0,11,1
greenshot,PickerDestination,0,1,3,0,1,32,4,0,1,-1,9,1
greenshot,PrinterDestination,1,4,6,0,4,91,9,0,1,0.75,10,1
greenshot,AboutForm,38,7,0,0,1,529,28,0,1,0.569999993,12,1
greenshot,AnimatingBaseForm,0,0,0,0,0,3,0,1,1,-1,1,1
greenshot,BaseForm,0,0,0,0,0,3,0,4,1,-1,1,4
greenshot,BugReportForm,5,6,0,0,1,126,8,0,2,0.5,3,1
greenshot,CaptureForm,24,25,4,0,1,1085,135,0,1,0.159999996,15,1
greenshot,FixMode,0,0,0,0,0,7,0,0,0,-1,0,1
greenshot,LanguageDialog,6,7,1,0,1,133,12,0,0,0.430000007,2,1
greenshot,MainForm,35,71,0,1,10,1951,216,0,2,0.270000011,65,3
greenshot,PrintOptionsDialog,15,5,0,0,1,301,8,0,2,0.400000006,2,1
greenshot,SettingsForm,104,40,0,0,1,2060,101,0,2,0.119999997,18,2
greenshot,ListviewWithDestinationComparer,0,1,0,0,1,28,6,0,0,-1,0,1
greenshot,ToolStripMenuSelectList,5,6,1,0,4,109,14,0,0,0,6,1
greenshot,ItemCheckedChangedEventArgs,0,1,1,0,1,8,1,0,0,-1,1,2
greenshot,ToolStripMenuSelectListItem,0,0,1,0,0,4,0,0,0,-1,0,3
greenshot,GreenshotMain,0,3,0,0,1,32,5,0,0,-1,1,0
greenshot,CaptureHelper,9,35,1,0,20,1045,151,0,0,0,34,2
greenshot,CommandEnum,0,0,0,0,0,7,0,0,0,-1,0,2
greenshot,CopyDataTransport,1,5,1,0,5,26,5,0,0,0,1,1
greenshot,CopyData,3,6,1,0,2,108,11,0,0,0,4,1
greenshot,COPYDATASTRUCT,6,0,0,6,0,13,0,0,0,-1,0,2
greenshot,CopyDataReceivedEventArgs,0,1,4,0,0,34,1,0,0,-1,0,2
greenshot,CopyDataChannels,1,8,0,0,5,110,10,0,0,0.879999995,1,1
greenshot,CopyDataChannel,3,11,1,0,3,146,18,0,0,0,3,1
greenshot,CopyDataObjectData,3,1,0,3,1,33,2,0,0,0,0,2
greenshot,IeCaptureHelper,2,11,0,0,6,666,64,0,0,0.180000007,15,2
greenshot,MapiMailMessage,3,11,4,0,6,346,26,0,0,0.180000007,14,3
greenshot,MapiFileDescriptor,6,0,0,6,0,10,0,0,0,-1,0,1
greenshot,RecipientType,0,0,0,0,0,15,0,0,0,-1,0,2
greenshot,MAPI_CODES,0,0,0,0,0,31,0,0,0,-1,0,1
greenshot,MapiHelperInterop,0,2,0,0,1,39,2,0,0,-1,0,3
greenshot,MapiMessage,12,0,0,12,0,16,0,0,0,-1,0,1
greenshot,MapiRecipDesc,6,0,0,6,0,10,0,0,0,-1,0,2
greenshot,Recipient,3,2,0,3,1,42,3,0,0,0,4,2
greenshot,RecipientCollection,0,2,0,0,1,67,2,0,0,-1,5,1
greenshot,InteropRecipientCollection,1,2,1,0,2,50,6,0,0,0,0,1
greenshot,NotifyIconNotificationService,3,5,0,0,4,91,7,0,1,0,4,1
greenshot,PluginHelper,5,12,1,0,10,194,23,0,1,0.920000017,15,2
greenshot,PrintHelper,6,9,0,0,4,214,26,0,0,0,14,1
greenshot,ResourceMutex,5,5,1,0,3,129,8,0,0,0,0,1
greenshot,SoundHelper,4,3,0,0,3,74,9,0,0,0,2,2
greenshot,StartupHelper,4,11,0,0,10,253,25,0,0,0,0,1
greenshot,UpdateService,6,6,5,1,2,154,12,0,0,0,7,1
greenshot,UpdateFeed,0,0,2,0,0,6,0,0,0,-1,0,1
greenshot,DocumentContainer,17,14,29,0,5,472,26,0,0,0,14,1
greenshot,TitleFixProcessor,2,2,2,0,2,47,9,0,1,0,5,1
greenshot,AnimatingForm,3,5,3,0,0,85,7,2,1,0.600000024,1,2
greenshot,BackgroundForm,4,8,0,0,3,132,15,0,0,0.25,1,2
greenshot,ExtendedWebBrowser,0,1,0,0,0,33,1,0,0,-1,2,0
greenshot,ExtendedWebBrowserSite,4,3,0,0,3,26,5,0,1,0.670000017,0,1
greenshot,FormWithoutActivation,0,0,1,0,0,7,0,1,0,-1,0,1
greenshot,GreenshotButton,0,0,1,0,0,5,0,0,1,-1,1,0
greenshot,GreenshotCheckBox,0,0,3,0,0,9,0,0,1,-1,2,0
greenshot,GreenshotColumnSorter,3,2,2,0,2,82,7,0,0,0,0,1
