Project,Design smell,Namespace,Class,File
greenshot,Deficient Encapsulation,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs
greenshot,Deficient Encapsulation,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,COPYDATASTRUCT,DesigniteProjects\greenshot\src\Greenshot\Helpers\CopyData.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,CopyDataObjectData,DesigniteProjects\greenshot\src\Greenshot\Helpers\CopyData.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,MapiFileDescriptor,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,MapiMessage,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,MapiRecipDesc,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,Recipient,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs
greenshot,Deficient Encapsulation,Greenshot.Helpers,UpdateService,DesigniteProjects\greenshot\src\Greenshot\Helpers\UpdateService.cs
greenshot,Deficient Encapsulation,Greenshot.Base.Controls,FilterOption,DesigniteProjects\greenshot\src\Greenshot.Base\Controls\SaveImageFileDialog.cs
greenshot,Deficient Encapsulation,Greenshot.Base.Core,INFO,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CredentialsHelper.cs
greenshot,Deficient Encapsulation,Greenshot.Base.IniFile,IniSectionAttribute,DesigniteProjects\greenshot\src\Greenshot.Base\IniFile\IniAttributes.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Controls,PipetteUsedArgs,DesigniteProjects\greenshot\src\Greenshot.Editor\Controls\Pipette.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Drawing.Fields,AbstractFieldHolderWithChildren,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\AbstractFieldHolderWithChildren.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Drawing.Fields,FieldType,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\FieldType.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Drawing.Fields,FieldType,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\FieldType.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Drawing.Filters,BlurFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\BlurFilter.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Forms,ColorPickerToolStripButton,DesigniteProjects\greenshot\src\Greenshot.Editor\Forms\ColorPickerToolStripButton.cs
greenshot,Deficient Encapsulation,Greenshot.Editor.Forms,ColorPickerEventArgs,DesigniteProjects\greenshot\src\Greenshot.Editor\Forms\ColorPickerToolStripButton.cs
