Project,Method,LOC,CC,PC
greenshot,ContextMenuToolStripProfessionalRenderer,3,1,1
greenshot,OnRenderItemCheck,11,2,1
greenshot,ExportCapture,15,1,3
greenshot,EmailDestination,9,2,0
greenshot,ExportCapture,7,1,3
greenshot,ExportCapture,64,5,3
greenshot,CreateNewFilename,35,2,1
greenshot,ExportCapture,14,2,3
greenshot,ExportCapture,17,4,3
greenshot,PrinterDestination,2,1,0
greenshot,PrinterDestination,3,1,1
greenshot,DynamicDestinations,25,3,0
greenshot,ExportCapture,26,4,3
greenshot,Cleanup,5,2,2
greenshot,AboutForm,65,3,0
greenshot,LinkLabelClicked,13,2,2
greenshot,Animate,74,11,0
greenshot,ProcessCmdKey,55,6,2
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,183,1,0
greenshot,BugReportForm,7,1,0
greenshot,BugReportForm,3,1,1
greenshot,LinkLblBugsLinkClicked,3,1,2
greenshot,openLink,11,1,1
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,65,1,0
greenshot,CaptureForm,4,1,0
greenshot,ClosedHandler,9,2,2
greenshot,ClosingHandler,4,1,2
greenshot,CaptureForm,40,3,2
greenshot,CaptureForm_Resize,10,2,2
greenshot,SetSize,9,1,0
greenshot,InitializeZoomer,12,2,1
greenshot,CaptureFormKeyUp,11,2,2
greenshot,CaptureFormKeyDown,126,24,2
greenshot,OnMouseDown,6,2,2
greenshot,HandleMouseDown,8,1,0
greenshot,HandleMouseUp,33,5,0
greenshot,IsWordUnderCursor,19,7,1
greenshot,OnMouseUp,6,2,2
greenshot,FixMouseCoordinates,23,6,1
greenshot,OnMouseMove,5,1,2
greenshot,IsAnimating,7,2,1
greenshot,Animate,201,32,0
greenshot,OnPaintBackground,2,1,1
greenshot,VerifyZoomAnimation,44,7,2
greenshot,DrawZoom,91,4,3
greenshot,OnPaint,201,22,2
greenshot,CreateRoundedRectangle,13,1,5
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,26,1,0
greenshot,LanguageDialog,9,1,0
greenshot,PreventFormClose,6,2,2
greenshot,FormLoad,26,3,2
greenshot,BtnOKClick,6,1,2
greenshot,GetInstance,3,1,0
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,43,1,0
greenshot,Start,227,21,1
greenshot,SendData,6,1,1
greenshot,FreeMutex,16,2,0
greenshot,MainForm,104,8,1
greenshot,RegisterInternalDestinations,42,6,0
greenshot,RegisterInternalProcessors,17,3,0
greenshot,CopyDataDataReceived,5,1,2
greenshot,HandleDataTransport,55,7,1
greenshot,WndProc,12,3,1
greenshot,RegisterHotkey,23,4,4
greenshot,RegisterWrapper,29,3,5
greenshot,OnIconSizeChanged,12,3,2
greenshot,DpiChangedHandler,4,1,2
greenshot,RegisterHotkeys,3,1,0
greenshot,RegisterHotkeys,51,12,1
greenshot,IsOneDriveBlockingHotkey,19,4,0
greenshot,HandleFailedHotkeyRegistration,20,3,1
greenshot,UpdateUi,15,2,0
greenshot,MainFormFormClosing,5,1,2
greenshot,MainFormActivated,9,1,2
greenshot,CaptureRegion,3,1,0
greenshot,CaptureFile,16,3,1
greenshot,CaptureFullScreen,3,1,0
greenshot,CaptureLastRegion,3,1,0
greenshot,CaptureClipboard,3,1,0
greenshot,CaptureIE,6,2,0
greenshot,CaptureWindow,10,2,0
greenshot,ContextMenuOpening,45,4,2
greenshot,ContextMenuClosing,5,1,2
greenshot,CaptureIeMenuDropDownOpening,52,7,2
greenshot,MultiScreenDropDownOpening,44,7,2
greenshot,MultiScreenDropDownClosing,4,1,2
greenshot,CaptureWindowFromListMenuDropDownOpening,7,1,2
greenshot,CaptureWindowFromListMenuDropDownClosed,3,1,2
greenshot,ShowThumbnailOnEnter,9,3,2
greenshot,HideThumbnailOnLeave,3,1,2
greenshot,CleanupThumbnail,8,2,0
greenshot,AddCaptureWindowMenuItems,31,6,2
greenshot,CaptureAreaToolStripMenuItemClick,3,1,2
greenshot,CaptureClipboardToolStripMenuItemClick,3,1,2
greenshot,OpenFileToolStripMenuItemClick,3,1,2
greenshot,CaptureFullScreenToolStripMenuItemClick,3,1,2
greenshot,Contextmenu_CaptureLastRegionClick,3,1,2
greenshot,Contextmenu_CaptureWindow_Click,3,1,2
greenshot,Contextmenu_CaptureWindowFromList_Click,15,1,2
greenshot,Contextmenu_CaptureIe_Click,3,1,2
greenshot,Contextmenu_CaptureIeFromList_Click,33,2,2
greenshot,Contextmenu_DonateClick,3,1,2
greenshot,Contextmenu_SettingsClick,3,1,2
greenshot,ShowSetting,23,3,0
greenshot,Contextmenu_AboutClick,3,1,2
greenshot,ShowAbout,20,2,0
greenshot,Contextmenu_HelpClick,3,1,2
greenshot,Contextmenu_ExitClick,3,1,2
greenshot,CheckStateChangedHandler,6,2,2
greenshot,InitializeQuickSettingsMenu,93,14,0
greenshot,QuickSettingCaptureModeChanged,8,2,2
greenshot,QuickSettingBoolItemChanged,8,2,2
greenshot,QuickSettingDestinationChanged,38,6,2
greenshot,Task_UnhandledException,14,1,2
greenshot,CurrentDomain_UnhandledException,12,2,2
greenshot,Application_ThreadException,12,2,2
greenshot,NotifyIconClickTest,30,4,2
greenshot,NotifyIconSingleClickTest,5,1,2
greenshot,NotifyIconClick,45,12,1
greenshot,Contextmenu_OpenRecent,39,4,2
greenshot,Exit,81,5,0
greenshot,SelectCaptureWindow,3,1,1
greenshot,CaptureWindow,3,1,3
greenshot,Dispose,11,4,1
greenshot,InitializeComponent,224,1,0
greenshot,PrintOptionsDialog,7,1,0
greenshot,Button_okClick,6,1,2
greenshot,OnFieldsFilled,7,2,0
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,233,1,0
greenshot,SettingsForm,7,1,0
greenshot,AdjustToDpi,3,1,2
greenshot,OnLoad,31,2,1
greenshot,NumericUpDownDaysbetweencheckOnValueChanged,24,5,2
greenshot,EnterHotkeyControl,4,1,2
greenshot,LeaveHotkeyControl,4,1,2
greenshot,ProcessCmdKey,18,3,2
greenshot,PopulateComboBox,8,2,3
greenshot,GetSelected,16,3,1
greenshot,SetWindowCaptureMode,23,3,1
greenshot,DisplayPluginTab,36,5,0
greenshot,UpdateUi,26,3,0
greenshot,CheckSettings,3,1,0
greenshot,CheckFilenamePattern,13,2,0
greenshot,CheckStorageLocationPath,5,1,0
greenshot,DisplayTextBoxValidity,11,2,2
greenshot,FilenamePatternChanged,3,1,2
greenshot,StorageLocationChanged,3,1,2
greenshot,UpdateDestinationDescriptions,9,3,0
greenshot,UpdateClipboardFormatDescriptions,7,2,0
greenshot,DisplayDestinations,56,8,0
greenshot,DisplaySettings,53,5,0
greenshot,SaveSettings,73,13,0
greenshot,Settings_cancelClick,3,1,2
greenshot,Settings_okayClick,17,2,2
greenshot,BrowseClick,12,3,2
greenshot,TrackBarJpegQualityScroll,3,1,2
greenshot,BtnPatternHelpClick,6,1,2
greenshot,Listview_pluginsSelectedIndexChanged,3,1,2
greenshot,Button_pluginconfigureClick,3,1,2
greenshot,Combobox_languageSelectedIndexChanged,17,2,2
greenshot,Combobox_window_capture_modeSelectedIndexChanged,14,2,2
greenshot,CheckDestinationSettings,41,7,0
greenshot,DestinationsCheckStateChanged,3,1,2
greenshot,OnFieldsFilled,7,2,0
greenshot,ExpertSettingsEnableState,12,1,1
greenshot,Checkbox_enableexpert_CheckedChanged,6,2,2
greenshot,Radiobutton_CheckedChanged,3,1,2
greenshot,Dispose,8,3,1
greenshot,InitializeComponent,1255,1,0
greenshot,Compare,24,6,2
greenshot,ToolStripMenuSelectList,7,1,3
greenshot,UpdateImage,10,2,0
greenshot,ItemCheckStateChanged,15,3,2
greenshot,AddItem,26,4,4
greenshot,AddItem,3,1,3
greenshot,UncheckAll,11,3,0
greenshot,ItemCheckedChangedEventArgs,3,1,1
greenshot,GreenshotMain,3,1,0
greenshot,CurrentDomain_AssemblyResolve,15,3,2
greenshot,Main,7,1,1
greenshot,Dispose,4,1,0
greenshot,Dispose,15,3,1
greenshot,CaptureClipboard,8,2,1
greenshot,CaptureRegion,4,1,1
greenshot,CaptureRegion,4,1,2
greenshot,CaptureRegion,4,1,2
greenshot,CaptureFullscreen,7,1,2
greenshot,CaptureLastRegion,4,1,1
greenshot,CaptureIe,7,1,2
greenshot,CaptureWindow,4,1,1
greenshot,CaptureWindow,7,1,1
greenshot,CaptureWindowInteractive,4,1,1
greenshot,CaptureFile,8,2,2
greenshot,ImportCapture,7,1,1
greenshot,AddDestination,4,1,1
greenshot,CaptureHelper,4,1,1
greenshot,CaptureHelper,3,1,2
greenshot,CaptureHelper,4,1,3
greenshot,CaptureHelper,3,1,3
greenshot,DoCaptureFeedback,6,2,0
greenshot,MakeCapture,4,1,1
greenshot,MakeCapture,4,1,1
greenshot,MakeCapture,268,36,0
greenshot,PrepareForCaptureWithFeedback,10,1,0
greenshot,RetrieveWindowDetails,21,3,0
greenshot,AddConfiguredDestination,10,3,0
greenshot,OpenCaptureOnClick,22,4,1
greenshot,SurfaceMessageReceived,21,4,2
greenshot,HandleCapture,119,22,0
greenshot,CaptureActiveWindow,43,7,0
greenshot,SelectCaptureWindow,18,3,1
greenshot,IsWpf,25,4,1
greenshot,CaptureWindow,215,31,3
greenshot,SetDpi,17,2,0
greenshot,CaptureWithFeedback,32,4,0
greenshot,CopyDataTransport,3,1,0
greenshot,CopyDataTransport,3,1,1
greenshot,CopyDataTransport,3,1,2
greenshot,AddCommand,3,1,1
greenshot,AddCommand,3,1,2
greenshot,WndProc,29,5,1
greenshot,OnCopyDataReceived,3,1,1
greenshot,OnHandleChange,5,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,5,2,1
greenshot,CopyData,3,1,0
greenshot,CopyDataReceivedEventArgs,6,1,3
greenshot,GetEnumerator,3,1,0
greenshot,Add,4,1,1
greenshot,Remove,3,1,1
greenshot,Contains,3,1,1
greenshot,OnClear,7,2,0
greenshot,OnRemoveComplete,4,1,2
greenshot,OnHandleChange,6,2,0
greenshot,CopyDataChannels,3,1,1
greenshot,GetProp,0,1,2
greenshot,SetProp,0,1,3
greenshot,RemoveProp,0,1,2
greenshot,SendMessage,0,1,4
greenshot,Send,57,6,1
greenshot,AddChannel,4,1,0
greenshot,RemoveChannel,4,1,0
greenshot,OnHandleChange,4,1,0
greenshot,Dispose,4,1,0
greenshot,Dispose,8,3,1
greenshot,CopyDataChannel,5,1,2
greenshot,CopyDataObjectData,10,2,2
greenshot,ActivateIeTab,10,2,2
greenshot,IsIeWindow,11,3,1
greenshot,GetIeWindows,17,5,0
