Project,Design smell,Namespace,Class,File,
greenshot,Insufficient Modularization,Greenshot.Forms,CaptureForm,DesigniteProjects\greenshot\src\Greenshot\Forms\CaptureForm.cs,
greenshot,Insufficient Modularization,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs,
greenshot,Insufficient Modularization,Greenshot.Forms,MainForm,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs,
greenshot,Insufficient Modularization,Greenshot.Forms,SettingsForm,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.cs,
greenshot,Insufficient Modularization,Greenshot.Forms,SettingsForm,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.cs,
greenshot,Insufficient Modularization,Greenshot.Helpers,CaptureHelper,DesigniteProjects\greenshot\src\Greenshot\Helpers\CaptureHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Helpers,CaptureHelper,DesigniteProjects\greenshot\src\Greenshot\Helpers\CaptureHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Helpers,CaptureHelper,DesigniteProjects\greenshot\src\Greenshot\Helpers\CaptureHelper.cs,
greenshot,Broken Modularization,Greenshot.Helpers,COPYDATASTRUCT,DesigniteProjects\greenshot\src\Greenshot\Helpers\CopyData.cs,
greenshot,Broken Modularization,Greenshot.Helpers,MapiFileDescriptor,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Broken Modularization,Greenshot.Helpers,MapiMessage,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Broken Modularization,Greenshot.Helpers,MapiRecipDesc,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Forms,AboutForm,DesigniteProjects\greenshot\src\Greenshot\Forms\AboutForm.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Forms,SettingsForm,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Helpers,MapiMailMessage,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Helpers,RecipientCollection,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Destinations,FileDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\FileDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Forms,AboutForm,DesigniteProjects\greenshot\src\Greenshot\Forms\AboutForm.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Helpers,MapiMailMessage,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Destinations,FileDestination,DesigniteProjects\greenshot\src\Greenshot\Destinations\FileDestination.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,ClipboardHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ClipboardHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,ClipboardHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ClipboardHelper.cs,
greenshot,Broken Modularization,Greenshot.Base.Core,INFO,DesigniteProjects\greenshot\src\Greenshot.Base\Core\CredentialsHelper.cs,
greenshot,Broken Modularization,Greenshot.Base.Core,OsInfo,DesigniteProjects\greenshot\src\Greenshot.Base\Core\EnvironmentInfo.cs,
greenshot,Broken Modularization,Greenshot.Base.Core,IImage,DesigniteProjects\greenshot\src\Greenshot.Base\Core\IImage.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,ImageHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,ImageHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,ImageHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ImageHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,NetworkHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\NetworkHelper.cs,
greenshot,Broken Modularization,Greenshot.Base.Core,WuColorCube,DesigniteProjects\greenshot\src\Greenshot.Base\Core\QuantizerHelper.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,WindowDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowDetails.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,WindowDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowDetails.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Core,WindowDetails,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowDetails.cs,
greenshot,Broken Modularization,Greenshot.Base.IEInterop,IHTMLCurrentStyle,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLCurrentStyle.cs,
greenshot,Broken Modularization,Greenshot.Base.IEInterop,IHTMLDocument2,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument2.cs,
greenshot,Broken Modularization,Greenshot.Base.IEInterop,IHTMLFrameBase,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLFrameBase.cs,
greenshot,Insufficient Modularization,Greenshot.Base.Interfaces,ISurface,DesigniteProjects\greenshot\src\Greenshot.Base\Interfaces\ISurface.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Base.Core,ClipboardHelper,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ClipboardHelper.cs,
