Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot\GreenshotMain.cs,71
greenshot,DesigniteProjects\greenshot\src\Greenshot\Configuration\LanguageKeys.cs,82
greenshot,DesigniteProjects\greenshot\src\Greenshot\Controls\ContextMenuToolStripProfessionalRenderer.cs,59
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\ClipboardDestination.cs,77
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\EmailDestination.cs,99
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\FileDestination.cs,168
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\FileWithDialogDestination.cs,73
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\PickerDestination.cs,72
greenshot,DesigniteProjects\greenshot\src\Greenshot\Destinations\PrinterDestination.cs,146
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\AboutForm.cs,389
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\AboutForm.Designer.cs,252
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\AnimatingBaseForm.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\BaseForm.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\BugReportForm.cs,64
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\BugReportForm.Designer.cs,122
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\CaptureForm.cs,1198
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\CaptureForm.Designer.cs,73
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\LanguageDialog.cs,104
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\LanguageDialog.Designer.cs,94
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.cs,1962
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\MainForm.Designer.cs,301
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\PrintOptionsDialog.cs,60
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\PrintOptionsDialog.Designer.cs,302
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.cs,862
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\SettingsForm.Designer.cs,1410
greenshot,DesigniteProjects\greenshot\src\Greenshot\Forms\ToolStripMenuSelectList.cs,181
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\CaptureHelper.cs,1222
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\CopyData.cs,598
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\IECaptureHelper.cs,800
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\MailHelper.cs,577
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\NotifyIconNotificationService.cs,136
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\PluginHelper.cs,259
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\PrintHelper.cs,284
greenshot,DesigniteProjects\greenshot\src\Greenshot\Helpers\ResourceMutex.cs,177
