Project,File,Broken Hierarchy,Broken Modularization,Complex Conditional,Complex Method,Cyclic Hierarchy,Cyclically-dependent Modularization,Deficient Encapsulation,Duplicate Abstraction,Duplicate Code,Empty Catch Block,Feature Envy,Hub-like Modularization,Insufficient Modularization,Long Identifier,Long Method,Long Parameter List,Long Statement,Magic Number,Missing Default,Multipath Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Unnecessary Abstraction,Unutilized Abstraction,Virtual Method Call from Constructor,Wide Hierarchy
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BaseApiController.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.363636363636363
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BlogController.cs,3.5971223021582737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.985611510791365,21.58273381294964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\DbFirstController.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0391061452514,0.0,0.0,0.0,0.0,0.0,0.0,5.5865921787709505,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.785515320334262,38.99721448467967,2.785515320334262,0.0,0.0,0.0,0.0,2.785515320334262,2.785515320334262,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DepartmentController.cs,4.651162790697675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.30232558139535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\HealthCheckController.cs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454545454545,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ImgController.cs,6.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.689655172413794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,2.890173410404624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,2.890173410404624,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ModuleController.cs,5.747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs,3.636363636363636,3.636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18181818181818,0.0,0.0,0.0,0.0,3.636363636363636,0.0,0.0,0.0
