File,Smell
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BaseApiController.cs,"['Wide Hierarchy', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\BlogController.cs,"['Broken Hierarchy', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\DbFirstController.cs,"['Unutilized Abstraction', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,"['Unutilized Abstraction', 'Unnecessary Abstraction', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DepartmentController.cs,"['Broken Hierarchy', 'Long Statement', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\HealthCheckController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ImgController.cs,"['Broken Hierarchy', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,"['Unnecessary Abstraction', 'Broken Hierarchy', 'Long Parameter List', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ModuleController.cs,"['Broken Hierarchy', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs,"['Unnecessary Abstraction', 'Broken Hierarchy', 'Empty Catch Block', 'Empty Catch Block', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\NacosController.cs,"['Broken Hierarchy', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PayController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,"['Duplicate Abstraction', 'Unnecessary Abstraction', 'Unnecessary Abstraction', 'Broken Hierarchy', 'Long Method', 'Complex Method', 'Complex Method', 'Complex Method', 'Long Parameter List', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Long Statement', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\RoleController.cs,"['Broken Hierarchy', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\SplitDemoController.cs,"['Unutilized Abstraction', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Statement', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TopicController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TopicDetailController.cs,"['Unutilized Abstraction', 'Long Statement']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TransactionController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\UserController.cs,"['Broken Hierarchy', 'Complex Method', 'Long Parameter List', 'Long Statement', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\UserRoleController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\ValuesController.cs,"['Unnecessary Abstraction', 'Broken Hierarchy', 'Long Parameter List', 'Magic Number', 'Magic Number', 'Insufficient Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\WeChatCompanyController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\WeChatConfigController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\WeChatController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\WeChatPushLogController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\WeChatSubController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\v1\ApbController.cs,"['Unutilized Abstraction', 'Duplicate Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\v2\ApbController.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\AutofacPropertityModuleReg.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalAuthorizeFilter.cs,"['Unutilized Abstraction', 'Unutilized Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalExceptionFilter.cs,"['Unutilized Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\GlobalRoutePrefixFilter.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Api\Filter\UserRegisterVo.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Magic Number', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\CachingAttribute.cs,"['Unnecessary Abstraction', 'Unutilized Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\EnumAttachedAttribute.cs,['Unnecessary Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Attribute\UseTranAttribute.cs,"['Unnecessary Abstraction', 'Unutilized Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\AppSecretConfig.cs,"['Unutilized Abstraction', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\BaseDBConfig.cs,"['Deficient Encapsulation', 'Deficient Encapsulation', 'Empty Catch Block', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\DB\MainDb.cs,"['Unnecessary Abstraction', 'Deficient Encapsulation', 'Deficient Encapsulation']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\EnumExtensions.cs,"['Unutilized Abstraction', 'Broken Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions.cs,['Unutilized Abstraction']
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\ExpressionExtensions_Nacos.cs,"['Unutilized Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\Extention.Expression.cs,"['Unutilized Abstraction', 'Unnecessary Abstraction', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Long Parameter List', 'Insufficient Modularization']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Extensions\GenericTypeExtensions.cs,"['Unutilized Abstraction', 'Duplicate Abstraction', 'Duplicate Abstraction']"
DesigniteProjects\Blog.Core\Blog.Core.Common\GlobalVar\GlobalVars.cs,"['Unnecessary Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Unnecessary Abstraction', 'Unutilized Abstraction', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Appsettings.cs,"['Empty Catch Block', 'Empty Catch Block']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base32Helper.cs,"['Unutilized Abstraction', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\Base64Encoder.cs,"['Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Deficient Encapsulation', 'Complex Method', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number', 'Magic Number']"
