Project,URL,Smell Type,Smell,Namespace,Class,File,Method,File Path,Line Count
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unutilized Abstraction,Blog.Core.Controllers,DbFirstController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\DbFirstController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\DbFirstController.cs,179
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unutilized Abstraction,Blog.Core.Controllers,MigrateController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,359
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unnecessary Abstraction,Blog.Core.Controllers,PM,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\DbFirst\MigrateController.cs,359
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unutilized Abstraction,Blog.Core.Controllers,HealthCheckController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\HealthCheckController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\HealthCheckController.cs,22
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unnecessary Abstraction,Blog.Core.Controllers,SwaggerLoginRequest,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\LoginController.cs,346
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unnecessary Abstraction,Blog.Core.Controllers,WelcomeInitData,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\MonitorController.cs,275
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unutilized Abstraction,Blog.Core.Controllers,PayController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PayController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PayController.cs,101
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Duplicate Abstraction,Blog.Core.Controllers,PermissionController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,799
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unnecessary Abstraction,Blog.Core.Controllers,AssignView,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,799
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unnecessary Abstraction,Blog.Core.Controllers,AssignShow,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\PermissionController.cs,799
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Unutilized Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,547
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,547
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,547
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,547
Blog.Core,https://github.com/anjoy8/Blog.Core,Abstraction Design Smells,Duplicate Abstraction,Blog.Core.Controllers,TasksQzController,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,,DesigniteProjects\Blog.Core\Blog.Core.Api\Controllers\TasksQzController.cs,547
